,video_id,video_length,proporcao_analise,video_comments,comments_authors_total,comments_roberta_proportion,video_length_seconds,video_comments_norm,comments_authors_total_norm,video_length_seconds_norm
14,8bzqTZP70vE,PT10M11S,0.7057009198218032,834,536.0,2.1818181818181817,611,0.10995682676740422,0.09393557675004499,0.27791203479942
15,4mRtdeguJUo,PT10M29S,0.8392276635465901,683,507.0,8.75,629,0.08958445763626552,0.08871693359726471,0.2866118898018366
16,65nzFJHfAAg,PT13M26S,0.5888459050852939,687,513.0,6.8,806,0.09012412304371291,0.08979665287025373,0.37216046399226677
17,9t4jQLEE3Kk,PT13M22S,0.9109647981529987,776,539.0,2.4166666666666665,802,0.10213167835941717,0.0944754363865395,0.37022716288061863
18,Y8RcvEax1tU,PT13M26S,0.8540409568071812,1684,1104.0,2.2916666666666665,806,0.22463572584997302,0.19614900125967247,0.37216046399226677
19,SVQ6xT5qJSw,PT13M4S,0.7020143824115828,559,413.0,4.571428571428571,784,0.07285483000539666,0.07180133165377002,0.36152730787820203
20,G1tas_8-Sh8,PT16M45S,0.829261069646501,1341,935.0,0.6829268292682927,1005,0.17835941716135995,0.165736908403815,0.4683421942967617
21,mcIwUdHfeRU,PT11M41S,0.8196761131578371,587,395.0,5.5,701,0.07663248785752834,0.06856217383480295,0.3214113098115031
22,P3N-rVm3lIw,PT9M24S,0.6754789392745728,452,336.0,4.0,564,0.05841878035617917,0.057944934317077555,0.25519574673755435
23,V73bQvJE2yo,PT7M20S,0.6608635174753414,813,545.0,3.7777777777777777,440,0.10712358337830545,0.09555515565952852,0.19526341227646205
24,NRk0AE0MMnM,PT8M49S,0.7967601772799408,675,478.0,4.428571428571429,529,0.08850512682137075,0.08349829044448444,0.23827936201063316
25,G-qzWHmckzc,PT13M11S,0.8467524481128194,1027,752.0,6.555555555555555,791,0.13599568267674042,0.1328054705776498,0.3649105848235863
26,cqX-zwVMIMA,PT8M19S,0.6460157365463794,871,613.0,3.8,499,0.1149487317862925,0.10779197408673745,0.2237796036732721
27,zQAAKgRw2z4,PT1M16S,0.9366060254894408,716,505.0,2.142857142857143,76,0.09403669724770643,0.08835702717293503,0.019333011116481388
28,0zBZMJrCSBA,PT13M,0.9093054735537938,840,543.0,2.75,780,0.11076632487857528,0.09519524923519884,0.3595940067665539
29,lMiNii4C_TA,PT13M15S,0.5735673951602055,853,625.0,3.0,795,0.11252023745277928,0.10995141263271549,0.3668438859352344
30,rynQpRuMy9k,PT11M1S,0.7156468284784522,1019,592.0,3.7777777777777777,661,0.13491635186184564,0.10401295663127587,0.30207829869502173
31,q6_YZqr05-U,PT8M8S,0.7198739863662769,1098,831.0,3.0,488,0.14557474365893144,0.14702177433867192,0.21846302561623973
32,BBPE0VnCAI4,PT9M55S,0.7275321562180782,719,508.0,2.1333333333333333,595,0.09444144630329196,0.08889688680942955,0.27017883035282747
33,eZNJLsfbX9E,PT8M52S,0.5291132121991151,611,441.0,3.5454545454545454,532,0.07987048030221264,0.07684002159438547,0.23972933784436928
34,sr3iaKpdvAU,PT10M56S,0.7152627145704188,997,567.0,2.7333333333333334,656,0.13194819212088504,0.09951412632715494,0.2996616723054616
35,0fn0UD_9wWE,PT10M3S,0.6476819763783311,784,542.0,1.75,603,0.10321100917431193,0.095015296023034,0.27404543257612374
36,pgKWai_qSVg,PT9M42S,0.6751756068214049,655,455.0,7.8,582,0.08580679978413384,0.07935936656469318,0.263895601739971
37,fG8_VIEmjf4,PT10M36S,0.8946536998660157,1242,895.0,4.75,636,0.16500269832703723,0.1585387799172215,0.28999516674722087
38,xIKCuguEW8s,PT11M30S,0.6250798016232366,834,596.0,2.6,690,0.10995682676740422,0.10473276947993522,0.3160947317544708
39,sEwmogJd36Q,PT11M42S,0.8952195998309395,1840,1205.0,4.8,702,0.24568267674042094,0.21432427568832102,0.3218946350894152
40,CoyoSk2bgTY,PT10M8S,0.8971516350852892,849,542.0,6.4,608,0.11198057204533189,0.095015296023034,0.2764620589656839
41,jRsOLYTlcU4,PT8M52S,0.7961041054703291,1399,911.0,2.2,532,0.18618456556934698,0.1614180313118589,0.23972933784436928
42,J5PKLnCy8nY,PT35M5S,0.7408685559039013,1000,670.0,4.0,2105,0.1323529411764706,0.11804930718013316,1.0
43,tqSXUSvXN84,PT13M36S,0.7427132222055007,892,568.0,14.0,816,0.11778197517539127,0.09969407953931977,0.37699371677138716
44,n1Z4jTxGXLo,PT13M34S,0.6255910114422791,1435,952.0,2.12,814,0.19104155423637345,0.16879611301061723,0.3760270662155631
45,W6V5ZBMM0fE,PT14M45S,0.7126248119875167,1320,975.0,4.384615384615385,885,0.17552617377226118,0.17293503689040848,0.41034316094731754
46,8M4w3ahiuZc,PT15M16S,0.7534528159580302,7431,5571.0,3.3214285714285716,916,1.0,0.9999999999999999,0.4253262445625906
47,0ekE2OUYDZg,PT19M14S,0.7526240610365124,4713,3493.0,2.873015873015873,1154,0.6332973556395035,0.6260572251214684,0.5403576607056549
48,VD6e3UhMEsc,PT17M6S,0.9606438340251047,1341,1067.0,4.666666666666667,1026,0.17835941716135995,0.18949073240957348,0.47849202513291444
49,VD6e3UhMEsc,PT17M6S,0.8591050137237386,1341,,,1026,0.17835941716135995,,0.47849202513291444
50,FDJCwncED0o,PT15M30S,0.7368566470730006,2002,1291.0,3.227272727272727,930,0.2675391257420399,0.22980025193449702,0.43209279845335913
51,0ldf9mLUIc4,PT16M10S,0.9000420232477708,2709,1842.0,2.2777777777777777,970,0.3629249865083648,0.3289544718373223,0.4514258095698405
52,o0v-DO_56GM,PT12M14S,0.7805797648165641,1252,956.0,2.35,734,0.16635186184565567,0.16951592585927658,0.3373610439826003
53,8LduvlphKuE,PT19M37S,0.6484282536416526,5262,3796.0,2.0892857142857144,1177,0.7073664328116568,0.680583048407414,0.5514741420976318
54,gJDvyp9Z_8E,PT20M45S,0.9809753821540514,1904,1204.0,4.625,1245,0.25431732325957906,0.21414432247615617,0.5843402609956502
55,SmYV0uL0XO8,PT5M58S,0.935373735979299,1537,1233.0,1.6923076923076923,358,0.2048030221262817,0.21936296562893645,0.1556307394876752
56,-EN-EiUlHyE,PT16M18S,0.7775975389147313,1091,872.0,4.444444444444445,978,0.14463032919589852,0.15439985603743026,0.4552924117931368
57,8z__2xFV9j8,PT22M26S,0.6227317021361337,2460,1735.0,2.5294117647058822,1346,0.32933081489476523,0.3096994781356847,0.6331561140647657
58,O6AuqTl9q5M,PT48S,0.8494518345691939,49,39.0,3.5,48,0.0040474905558553695,0.004498830304120929,0.005799903334944418
59,CWFmZtw8PRw,PT55S,0.7241230702867448,142,85.0,4.0,55,0.016594711279007017,0.012776678063703436,0.009183180280328659
60,sY1ACmXabVA,PT36S,0.7766130543859655,64,55.0,10.0,36,0.006071235833783054,0.007378081698758324,0.0
61,o376MSUSD9I,PT14M8S,0.826428399476893,1750,1267.0,2.0375,848,0.23354020507285483,0.2254813748425409,0.3924601256645723
62,oBVSulldEgs,PT1M,0.7519890102560127,79,62.0,8.0,60,0.008094981111710739,0.008637754183912183,0.011599806669888833
63,0lglCe4yqNU,PT53S,0.6786436294483543,19,17.0,1.0,53,0.0,0.0005398596364945113,0.008216529724504592
64,YTZrv-BtxA8,PT57S,0.9379534305987328,54,35.0,2.0,57,0.004722072315164598,0.0037790174554615803,0.010149830836152729
65,XYMcOxB6W-c,PT47S,1.0647987612032306,26,14.0,inf,47,0.0009444144630329199,0.0,0.005316578057032381
66,x7Jqw08BK0w,PT59S,0.6408879518562599,37,30.0,4.0,59,0.0024284943335132216,0.0028792513946373946,0.0111164813919768
67,Z8AGSF3uPms,PT1M,0.6324596973493644,64,54.0,1.6,60,0.006071235833783054,0.007198128486593486,0.011599806669888833
68,xc9pIjIrwzg,PT37S,1.3655181385786348,20,17.0,6.0,37,0.00013491635186184577,0.0005398596364945113,0.0004833252779120334
69,0PE6VACgby0,PT49S,1.0531625377187073,50,38.0,inf,49,0.004182406907717215,0.004318877091956091,0.006283228612856451
70,1VMTGVhFvFc,PT1M,0.534222232371872,39,24.0,1.6666666666666667,60,0.002698327037236913,0.001799532121648371,0.011599806669888833
71,zo8SnJzcGRk,PT48S,0.6694135875053605,20,16.0,inf,48,0.00013491635186184577,0.0003599064243296744,0.005799903334944418
72,guClIAzl-64,PT57S,0.670779861000614,46,30.0,7.0,57,0.0036427415002698326,0.0028792513946373946,0.010149830836152729
73,pTygHZrMZHE,PT48S,0.8839529345908637,33,22.0,2.0,48,0.0018888289260658394,0.001439625697318697,0.005799903334944418
74,8T4_nwWIXQA,PT47S,0.6690826680500287,114,102.0,3.3333333333333335,47,0.012817053426875337,0.015835882670505667,0.005316578057032381
75,Y9jSG-t-vTg,PT55S,0.7799146209028439,24,23.0,5.0,55,0.0006745817593092284,0.001619578909483534,0.009183180280328659
76,Bw1Ac7LNEOo,PT59S,0.8298031890777666,130,111.0,1.1666666666666667,59,0.014975715056664868,0.0174554615799892,0.0111164813919768
77,VDXZHcLwSas,PT1M,0.7318834028632429,35,30.0,inf,60,0.002158661629789531,0.0028792513946373946,0.011599806669888833
78,MrtceRq9YeI,PT46S,0.9233043636288878,35,27.0,1.6666666666666667,46,0.002158661629789531,0.002339391758142883,0.004833252779120348
79,izO4YYYUHzc,PT36S,0.7320114209137697,37,24.0,inf,36,0.0024284943335132216,0.001799532121648371,0.0
80,Xg2AB1Gp7jc,PT45S,0.9605287391038518,56,36.0,2.0,45,0.00499190501888829,0.003958970667626417,0.004349927501208311
81,kZlX0g1Eq4M,PT59S,0.9173287467219916,70,57.0,2.0,59,0.006880733944954129,0.007737988123087998,0.0111164813919768
