duration,comment_count,view_count,like_count,video_id
908,2033,636852,54883,S6hWD7jw8ZA
1065,5614,813509,72597,zKH5rX6LPzs
745,2635,925181,73613,OJcBE4AcWIo
880,2465,1511367,84607,eMXloMFIX0A
1007,6105,2037671,134932,gjw5XJN9rX0
689,6351,1098374,82768,HAf9TuPn0U4
949,3443,988477,69343,dYu81dSYm0A
1547,8164,811759,63258,RitU416cBqY
1026,3277,850422,65438,Ms4jDR-iKC8
959,3574,787242,60378,uFfmnopxTxs
837,1473,344826,33080,wFX5cwKUDWc
636,2254,1215759,90134,mbUWIKwpyUE
1123,5361,689945,75597,OgE8I-rU9-w
1114,1384,676313,53891,BnZGai5d83A
906,8284,814312,67130,JhuH43LrSaY
917,2280,1343180,101306,G4AtX3FCTX4
939,10677,766617,76847,ub6kPBp40AU
955,1243,723855,55747,pAiNx3CG6sc
820,1017,329635,32822,auqmsxTtPJA
1607,7969,2305453,124075,KUOXMITYnKs
2015,8847,2931337,126748,j7XLIunTe5I
1984,4310,1282147,88067,6s5yrvRR_0E
2041,4421,1810863,96415,8koz9n1q-bA
2010,6104,1591577,85362,4q_t8Q03bsA
1597,3769,3760349,119187,ekrpDJNHl08
2033,5842,4067976,134502,M6jQU-h272U
1516,4561,2809022,118074,YFRbBI0VSKs
848,183,122721,10907,66Xg1GkJjdg
745,83,235028,20627,PGefMk7DoPY
3019,1848,1192641,51716,hHNEVLf74ug
1283,983,1206024,71717,QPLweEtlTPc
832,42,153173,11424,trQMLT5DLnE
1199,658,554124,38334,GpUxF8PFbyY
1110,209,153097,9537,7WIuLFjkCbc
1119,177,536594,39971,7w2HYQ1AwZI
1095,190,189578,12260,sEI4lcgmHOI
1221,485,288671,23454,B1WoVXb2tVA
1123,340,353591,21513,EzT74WeNsO4
1099,111,222478,15788,ReOnwqKR080
49,28,250204,29998,5aKv8iWvk60
1144,291,144388,11459,eosaSYclmus
47,118,371251,63778,Uf5Dy4wsF-M
1080,179,157715,8376,pzP64QJv-MI
658,51,144731,9506,MCi9l-ojkzM
902,304,175373,14831,r9mX6fP11XA
2779,208,131387,6123,PKMp0deSdCo
1144,241,530402,35737,WVfud7wX1Sc
623,415,121562,9242,jIuUf4o3e2A
973,80,169849,12664,_1J04gOt5pU
3126,160,70977,4377,RnDW_BRuodk
840,154,312151,24902,U9_uvbz61VY
1028,380,386546,30929,Foqju7HU8t0
878,304,107965,9504,geU8M_3EBbY
1040,86,325577,25002,1JEZd97UBrs
928,225,217135,22871,O32x5wTpfmI
1129,72,198610,7185,nIoXO22olcY
18,19,37300,2047,RT1eZweJPwg
93,20,140481,6306,kiqO6GvWtcE
1356,63,142450,2671,G2Hare_qRAA
1106,52,134803,4878,PvbqeHcGCt4
1073,62,174930,6322,QkXnWJKYOQQ
31,52,521497,62507,c1JVRPeo8X4
42,19,74893,4880,vEgoC2Oa5oQ
1194,43,103549,3649,WsJeEh6QJmU
45,38,28435,1533,JloJa0Q3bh8
36,64,51473,3765,ZayBd7KpNM4
1017,97,222881,8329,tjART907o5g
18,7,18436,1269,S1E9xODLdAo
72,11,13836,699,rxSBgG6qM6M
1640,42,169363,4859,SkwyVM3Uwn0
1041,32,27250,1220,iDAVO8Vx_mo
973,54,171664,6355,-I8YNLPT5GU
47,15,31262,2182,dY3-yMlDtWk
50,23,18107,1464,X4xbv--AtrA
3856,36,57660,2226,H-oUjDrzqnA
1424,58,142880,4761,RUZTpmbrwXw
81,14,20510,1160,dJqYKw4darw
59,21,22012,1630,9lQ4VKT5wws
38,9,15589,982,4b60GO1glCU
1416,47,127775,5047,F3-SfoNh-RI
68,20,41258,2455,AU6mLxk6zTw
1154,51,120282,4094,DsnlUiQ8-OY
1186,47,133983,4304,wGCEgSyiC9Q
1110,115,101047,4276,HQAMlE7ufHg
926,40,113532,3801,iBAw3iW_Slw
47,9,22024,1721,oklBTOURyK4
50,10,19480,1964,O09Dr9tM_tM
1122,89,264503,13273,tSk3uLh1q_Q
1169,99,321139,12462,sij5hPb9pFw
1465,223,598224,25314,LRM4J1M8p2o
1156,119,309765,11716,BNS1dRsFDdU
1156,89,260310,10695,XkCOO8mqhHQ
1127,121,458905,21949,SCWb_xhWanI
1357,141,606315,22010,-U7redLTQUU
982,173,286430,12621,_JDHPl8U4ko
1304,97,335556,14217,mld3iEncOd0
947,139,594471,27037,--7oGoWIy6A
971,75,122032,5937,cyd3jBjzGXs
1243,117,225747,18244,cKK3HRLy5Ng
982,64,163206,8499,XaAKj0OtoRE
1204,139,624860,25177,Xc6pwX5odag
1069,107,510190,18405,RwCfJtmMquc
1163,100,463873,19798,OOatQqWYXL0
60,86,578178,32692,es6A2oJqCtE
1119,107,309291,15523,Iktk-FQ9vjU
1044,220,772837,30720,FLW7hM3yd5c
1412,131,339863,15121,xsVDTH16AmE
988,122,515867,18633,WcUMaXxf3VI
1206,141,361184,15782,yOLmRCZdoaI
1112,113,381811,13989,mqHBgdOoAPU
2306,76,291807,9811,uHq_Lm7fFWg
922,88,211739,10914,DjjvZZehpQE
1023,74,412353,19317,Cf9SxkQIACA
2107,160,485995,17634,8drOfDfrDK4
